term,rho,pval,n_papers,ui,disease_term
D000924:Anticholesteremic Agents,0.03504721073540178,0.8679088291186687,25,D000924,False
D000925:Anticoagulants,0.10566601633201611,0.5336610084541111,37,D000925,False
D000926:Anticodon,0.7745966692414834,0.22540333075851657,4,D000926,False
D000927:Anticonvulsants,-0.26926775620293325,0.0328399027457463,63,D000927,False
D000928:Antidepressive Agents,0.2625297220158648,0.0654946262656378,50,D000928,False
"D000929:Antidepressive Agents, Tricyclic",0.5988131309566295,0.11675354405796776,8,D000929,False
D000930:Antidiarrheals,0.9999999999999999,,2,D000930,False
D000931:Antidotes,,,2,D000931,False
D000932:Antiemetics,,,1,D000932,False
D000933:Antifibrinolytic Agents,0.15389675281277312,0.8048288166080632,5,D000933,False
D000935:Antifungal Agents,0.06821713625043836,0.7879636668447036,18,D000935,False
D000936:Antigen-Antibody Complex,0.3102312108297932,0.28037623911176374,14,D000936,False
D000937:Antigen-Antibody Reactions,-0.5428571428571429,0.26570262390670557,6,D000937,False
D000938:Antigen-Presenting Cells,0.17753639055751164,0.2606701593535379,42,D000938,False
D000939:Epitopes,0.07208991093923922,0.42813674924131884,123,D000939,False
D000940:Antigenic Variation,,,1,D000940,False
D000941:Antigens,-0.004882744263575765,0.9680001458408944,70,D000941,False
"D000942:Antigens, Bacterial",-0.23214365096084122,0.03252751256599417,85,D000942,False
"D000943:Antigens, Differentiation",-0.08157359221641514,0.5116709858661626,67,D000943,False
"D000944:Antigens, Differentiation, B-Lymphocyte",0.0555343439074598,0.7550810139383276,34,D000944,False
"D000945:Antigens, Differentiation, T-Lymphocyte",0.00437936229638278,0.9823546850850691,28,D000945,False
"D000946:Antigens, Fungal",-0.4865127725673279,0.26824115507140395,7,D000946,False
"D000947:Antigens, Helminth",-0.5603592812531596,0.04638398665941295,13,D000947,False
D000949:Histocompatibility Antigens Class II,-0.039319410754175714,0.7577209455710427,64,D000949,False
"D000950:Antigens, Ly",0.17248007762144402,0.23100565065144693,50,D000950,False
"D000951:Antigens, Neoplasm",-0.015391784335293299,0.7940955442515601,290,D000951,False
"D000952:Antigens, Polyomavirus Transforming",0.15026857675938216,0.5929615813918572,15,D000952,False
"D000953:Antigens, Protozoan",-0.8057473673308077,0.0005031572399572075,14,D000953,False
"D000954:Antigens, Surface",-0.0430256148530285,0.7065459718891814,79,D000954,False
"D000956:Antigens, Viral",-0.346981992080562,0.011731055761397399,52,D000956,False
"D000957:Antigens, Viral, Tumor",-0.44474958999666075,0.3173719428280247,7,D000957,False
D000959:Antihypertensive Agents,0.22173037094377684,0.09738910119134245,57,D000959,False
D000960:Hypolipidemic Agents,0.04832086979878334,0.8146682504787909,26,D000960,False
D000961:Antilymphocyte Serum,-0.5642880936468347,0.32172333582430024,5,D000961,False
D000962:Antimalarials,0.37084055311879294,0.06800507100210537,25,D000962,False
D000963:Antimetabolites,0.023598922733765244,0.9308704128110734,16,D000963,False
"D000964:Antimetabolites, Antineoplastic",-0.02829507947227383,0.6607410771033362,243,D000964,False
D000965:Antimony,0.9999999999999999,,2,D000965,False
D000968:Antimycin A,0.5368199184193929,0.109612226788988,10,D000968,False
D000969:Antinematodal Agents,0.9999999999999999,,2,D000969,False
D000970:Antineoplastic Agents,-0.08006433272811707,0.007919806647266991,1099,D000970,False
D000971:Antineoplastic Combined Chemotherapy Protocols,-0.03846401075178045,0.4014381450751072,478,D000971,False
"D000972:Antineoplastic Agents, Phytogenic",-0.07552072198514936,0.2915417900118031,197,D000972,False
"D000974:Antibodies, Antinuclear",0.2617463074534774,0.08241163766073194,45,D000974,False
D000975:Antioxidants,-0.07291201166758271,0.3213478031188177,187,D000975,False
D000977:Antiparasitic Agents,-0.20519567041703085,0.7405819415910722,5,D000977,False
D000978:Antiparkinson Agents,0.17606619132183343,0.5650364026691794,13,D000978,False
D000979:alpha-2-Antiplasmin,0.39999999999999997,0.6,4,D000979,False
D000981:Antiprotozoal Agents,0.4058397249567139,0.42466250756136453,6,D000981,False
D000982:Antipruritics,-0.4928053803045812,0.3206325828658273,6,D000982,False
D000983:Antipyrine,,,2,D000983,False
D000986:Antisickling Agents,-0.17078251276599335,0.6859547529411325,8,D000986,False
D000987:Antisocial Personality Disorder,0.467074242146171,0.24326991663399547,8,D000987,False
D000990:Antithrombin III,0.09999999999999999,0.8728885715695383,5,D000990,False
D000991:Antithrombins,0.21004566210045666,0.5353214119751141,11,D000991,False
D000993:Antitreponemal Agents,,,1,D000993,False
D000995:Antitubercular Agents,-0.33592365620673575,0.04208217666682998,37,D000995,False
D000998:Antiviral Agents,-0.1515261206317338,0.05899136192043564,156,D000998,False
D001000:Ants,,,1,D001000,False
D001001:Anura,,,1,D001001,False
D001002:Anuria,,,1,D001002,True
D001003:Anal Canal,-0.3181818181818182,0.3402976141819036,11,D001003,False
D001005:Anus Neoplasms,0.4878048780487806,0.15264276487926762,10,D001005,True
"D001006:Anus, Imperforate",-0.08383383833392813,0.8435464923328297,8,D001006,True
D001007:Anxiety,-0.004911018195675411,0.9710781229151364,57,D001007,False
D001008:Anxiety Disorders,0.07654075546719681,0.6670182598255842,34,D001008,False
"D001010:Anxiety, Separation",,,1,D001010,False
D001011:Aorta,-0.06215386307851033,0.4045456010346077,182,D001011,False
"D001012:Aorta, Abdominal",-0.010023091968460296,0.946093552556231,48,D001012,False
"D001013:Aorta, Thoracic",-0.0231299139667248,0.864395956797973,57,D001013,False
D001014:Aortic Aneurysm,-0.3232435398863327,0.09337684426641453,28,D001014,True
D001017:Aortic Coarctation,0.9999999999999999,1.4042654220543672e-24,5,D001017,True
D001018:Aortic Diseases,0.219419432417781,0.07906084110929801,65,D001018,True
D001019:Aortic Rupture,-0.030871172177507972,0.9165633603558616,14,D001019,True
D001021:Aortic Valve,-0.21007863291140716,0.11026642730695954,59,D001021,False
D001022:Aortic Valve Insufficiency,0.3,0.6238376647810728,5,D001022,True
D001024:Aortic Valve Stenosis,-0.18745570823257005,0.15150670288710827,60,D001024,True
D001025:Aortitis,0.5,0.6666666666666667,3,D001025,True
D001026:Coronary Artery Bypass,-0.01083818923184271,0.947788511905034,39,D001026,False
D001027:Aortography,0.12300715284611541,0.7186119752409874,11,D001027,False
D001031:Apatites,,,2,D001031,False
D001034:Apgar Score,-0.9999999999999999,,2,D001034,False
D001037:Aphasia,0.632455532033676,0.367544467966324,4,D001037,True
"D001039:Aphasia, Broca",-0.9999999999999999,,2,D001039,True
D001048:Aplysia,0.10540925533894598,0.894590744661054,4,D001048,False
D001049:Apnea,0.5,0.6666666666666667,3,D001049,True
D001050:Apocrine Glands,0.261904761904762,0.530922861565801,8,D001050,False
D001051:Apoenzymes,-0.03706246583305506,0.9371240086628561,7,D001051,False
D001052:Apoferritins,-0.17704434435580468,0.562842098806509,13,D001052,False
D001053:Apolipoproteins,0.052550538117459175,0.8029950496147069,25,D001053,False
D001054:Apolipoproteins A,0.12390776253333206,0.5464644551532771,26,D001054,False
D001055:Apolipoproteins B,-0.34981726051592293,0.0864954724164804,25,D001055,False
D001056:Apolipoproteins C,,,1,D001056,False
D001057:Apolipoproteins E,0.05071993643907415,0.49058542762895296,187,D001057,False
D001058:Apomorphine,,,1,D001058,False
D001059:Apoproteins,-0.014812347345079994,0.9380768016757729,30,D001059,False
D001060:Aporphines,-0.7745966692414834,0.22540333075851657,4,D001060,False
D001062:Appendectomy,,,1,D001062,False
D001063:Appendiceal Neoplasms,-0.35909242322980395,0.5528147466433505,5,D001063,True
D001064:Appendicitis,-0.12966916291192404,0.7595819088353448,8,D001064,True
D001065:Appendix,0.8660254037844387,0.3333333333333332,3,D001065,False
D001066:Appetite,0.5296408977028497,0.2798259481884628,6,D001066,False
D001067:Appetite Depressants,0.9999999999999999,,2,D001067,False
D001068:Feeding and Eating Disorders,-0.217575126276488,0.5738746583219767,9,D001068,False
D001069:Appetite Regulation,-0.17260455285318504,0.5076767790462244,17,D001069,False
D001070:Appetitive Behavior,0.9999999999999999,,2,D001070,False
D001072:Apraxias,-0.2709251101321586,0.34881741723797555,14,D001072,True
D001076:Aptitude,,,1,D001076,False
D001080:Apurinic Acid,,,1,D001080,False
D001081:Apyrase,0.2696578587055556,0.1355598168767693,32,D001081,False
D001082:Aqueous Humor,0.29142040752883297,0.17728388573883103,23,D001082,False
D001087:Arabinonucleosides,0.23640271442232513,0.6097900468148635,7,D001087,False
D001092:Arachidonate 12-Lipoxygenase,-0.3142857142857143,0.5440932944606414,6,D001092,False
D001093:Arachidonate 15-Lipoxygenase,-0.22749530803872278,0.33474042710349405,20,D001093,False
D001094:Arachidonate 5-Lipoxygenase,-0.1866178732470374,0.47326599594872654,17,D001094,False
D001095:Arachidonic Acids,0.029863881870687305,0.9034037971111768,19,D001095,False
D001096:Arachnid Vectors,-0.9999999999999999,,2,D001096,False
D001099:Arachnoid,,,1,D001099,False
D001105:Archaea,-0.5,0.6666666666666667,3,D001105,False
D001106:Archaeology,,,1,D001106,False
D001110:Arctic Regions,-0.11180339887498948,0.8579446176050993,5,D001110,False
D001111:Arcuate Nucleus of Hypothalamus,-0.45116596130213676,0.22286923675650136,9,D001111,False
D001114:Areca,0.2624228784069353,0.25046610425445154,21,D001114,False
D001115:Arecoline,0.07192426489454565,0.8153751117049673,13,D001115,False
D001117:Arenaviridae Infections,0.053004843483807164,0.8634579539075821,13,D001117,True
D001118:Argentina,-0.11235804521568603,0.520471884157087,35,D001118,False
D001119:Arginase,-0.2529560580283221,0.05323812578814963,59,D001119,False
D001120:Arginine,-0.017373553573654662,0.8231287958311855,168,D001120,False
D001123:Argininosuccinate Lyase,0.8660254037844387,0.3333333333333332,3,D001123,False
D001124:Argininosuccinate Synthase,0.3903600291794133,0.3390301832455655,8,D001124,False
D001126:Arginine-tRNA Ligase,0.9999999999999999,,2,D001126,False
D001127:Arginine Vasopressin,-0.4071929290505081,0.31670918491612815,8,D001127,False
D001128:Argon,,,1,D001128,False
D001130:Arizona,-0.6,0.28475697986529375,5,D001130,False
D001132:Arm,0.09639253854237599,0.8203804112381492,8,D001132,False
D001136:Armenia,0.2727723627949905,0.5539606519328917,7,D001136,False
D001139:Arnold-Chiari Malformation,0.19999999999999998,0.747060078104662,5,D001139,True
D001141:Aromatase,0.1034905296968483,0.4744833687599288,50,D001141,False
D001142:Aromatic-L-Amino-Acid Decarboxylases,0.05910828046793255,0.8998298673144343,7,D001142,False
D001143:Arousal,0.19999999999999998,0.747060078104662,5,D001143,False
"D001145:Arrhythmias, Cardiac",-0.12114476575481506,0.31779217995077963,70,D001145,True
"D001146:Arrhythmia, Sinus",-0.030358837035945815,0.9544757346935633,6,D001146,True
D001149:Arsenates,,,1,D001149,False
D001151:Arsenic,-0.34346013794177804,0.05035394299764925,33,D001151,False
D001152:Arsenicals,-0.22979398258581896,0.06775267787849343,64,D001152,False
D001154:Art,,,1,D001154,False
D001157:Arterial Occlusive Diseases,-0.2043014033439437,0.4651642447854989,15,D001157,True
D001158:Arteries,-0.35284866964696243,0.009556896637201866,53,D001158,False
D001160:Arterioles,-0.12839832113076113,0.5407598157848478,25,D001160,False
D001161:Arteriosclerosis,0.24331493241112806,0.3012703852688381,20,D001161,True
D001162:Arteriosclerosis Obliterans,0.3638527494714231,0.30133785895691856,10,D001162,True
D001163:Arteriovenous Anastomosis,,,1,D001163,False
D001164:Arteriovenous Fistula,-0.6377481392176932,0.17307111024125976,6,D001164,True
D001165:Arteriovenous Malformations,-0.05071692572019167,0.8632944573885952,14,D001165,True
"D001166:Arteriovenous Shunt, Surgical",-0.28571428571428575,0.5345092286010406,7,D001166,False
D001167:Arteritis,0.21081851067789195,0.7891814893221081,4,D001167,True
D001168:Arthritis,0.13759751872618783,0.39717038524046544,40,D001168,True
"D001169:Arthritis, Experimental",0.08109146771111514,0.4396910607462424,93,D001169,True
"D001170:Arthritis, Infectious",-0.5,0.6666666666666667,3,D001170,True
"D001171:Arthritis, Juvenile",-0.24945777183182577,0.0908377915538557,47,D001171,True
"D001172:Arthritis, Rheumatoid",0.035156354043127856,0.5367839928811191,311,D001172,True
D001175:Arthrography,0.8660254037844387,0.3333333333333332,3,D001175,False
D001176:Arthrogryposis,-0.0419056359717263,0.8139656212912489,34,D001176,True
D001180:Arthropod Venoms,0.9999999999999999,,2,D001180,False
D001182:Arthroscopy,0.331990046995912,0.38275427804402373,9,D001182,False
D001183:Arthus Reaction,,,1,D001183,True
D001184:Articulation Disorders,,,1,D001184,True
D001185:Artificial Intelligence,-0.21081851067789195,0.7335793204938506,5,D001185,False
D001189:Aryl Hydrocarbon Hydroxylases,-0.18717805505462107,0.4875867294520093,16,D001189,False
D001190:Arylsulfonates,,,1,D001190,False
D001191:Arylamine N-Acetyltransferase,-0.29940656547831473,0.4712605287015583,8,D001191,False
D001192:Arylsulfatases,0.9999999999999999,,2,D001192,False
D001194:Asbestos,-0.47699162299076214,0.19417917606506618,9,D001194,False
D001195:Asbestosis,,,1,D001195,True
D001201:Ascites,0.0010031768524950344,0.9955792645076179,33,D001201,True
D001202:Ascitic Fluid,0.2547056908318546,0.09520985682025053,44,D001202,False
D001203:Ascomycota,-0.7826237921249264,0.11761376087345808,5,D001203,False
D001205:Ascorbic Acid,0.0668631128476535,0.6701018771622099,43,D001205,False
D001208:Asia,0.06259241195471277,0.747028413733722,29,D001208,False
"D001209:Asia, Central",,,2,D001209,False
"D001210:Asia, Southeastern",0.614502433207647,0.10500463789515231,8,D001210,False
D001212:Asialoglycoproteins,,,1,D001212,False
D001213:Asian Americans,-0.08092833412522109,0.7203295996942489,22,D001213,False
D001215:Asparaginase,0.02471547982747857,0.9153118079020479,21,D001215,False
D001216:Asparagine,0.0863715143290309,0.5426352444034528,52,D001216,False
D001217:Aspartate-Ammonia Ligase,0.10540925533894598,0.894590744661054,4,D001217,False
D001219:Aspartate Aminotransferases,-0.21940336130604196,0.0520452844899318,79,D001219,False
D001221:Aspartate Carbamoyltransferase,0.5225437283634242,0.22887787757609496,7,D001221,False
D001222:Aspartate Kinase,,,1,D001222,False
D001224:Aspartic Acid,-0.017101513319196574,0.8915930352112508,66,D001224,False
D001226:Aspartate-tRNA Ligase,-0.09815763686691212,0.7740188267011802,11,D001226,False
D001228:Aspergillosis,0.0,1.0,25,D001228,True
"D001229:Aspergillosis, Allergic Bronchopulmonary",0.8660254037844387,0.3333333333333332,3,D001229,True
D001230:Aspergillus,-0.12198750911856665,0.7735324033272464,8,D001230,False
D001231:Aspergillus flavus,,,1,D001231,False
D001232:Aspergillus fumigatus,0.00997151847270817,0.9532914654710916,37,D001232,False
D001234:Aspergillus niger,,,1,D001234,False
D001237:Asphyxia,0.7071067811865475,0.18169011381620925,5,D001237,True
D001238:Asphyxia Neonatorum,-0.5541749416747044,0.061526234661375,12,D001238,True
D001239:Inhalation,,,1,D001239,False
D001241:Aspirin,0.15499754185284986,0.22514302019161345,63,D001241,False
D001244:Association,,,1,D001244,False
D001245:Association Learning,-0.5,0.6666666666666667,3,D001245,False
D001247:Asthenia,0.8660254037844387,0.3333333333333332,3,D001247,True
D001249:Asthma,0.03271981260619335,0.6169931332446374,236,D001249,True
"D001250:Asthma, Exercise-Induced",0.316227766016838,0.683772233983162,4,D001250,True
D001251:Astigmatism,,,1,D001251,True
D001253:Astrocytes,0.03658375112161344,0.5817930595883407,229,D001253,False
D001254:Astrocytoma,0.015817007781010955,0.8691278405471234,111,D001254,True
D001257:Mamastrovirus,,,1,D001257,False
D001259:Ataxia,0.02321841472612737,0.849803873465449,69,D001259,True
D001260:Ataxia Telangiectasia,-0.02898855178262242,0.9565293523898406,6,D001260,True
D001262:Atenolol,0.5,0.6666666666666667,3,D001262,False
D001265:Athletic Injuries,-0.14285714285714288,0.7871720116618075,6,D001265,True
D001266:Atlantic Islands,,,1,D001266,False
D001271:Atlases as Topic,0.31549067826316746,0.34462430570388847,11,D001271,False
D001272:Atmosphere,,,1,D001272,False
D001274:Atmospheric Pressure,,,2,D001274,False
D001275:ATP Citrate (pro-S)-Lyase,-0.41703612897510395,0.09583239966570754,17,D001275,False
D001279:Atracurium,,,1,D001279,False
D001281:Atrial Fibrillation,0.06313586210601843,0.5103421862547742,111,D001281,True
D001282:Atrial Flutter,0.5,0.6666666666666667,3,D001282,True
D001283:Atrioventricular Node,,,1,D001283,False
D001284:Atrophy,-0.07433386796392916,0.46696050753146723,98,D001284,True
D001285:Atropine,0.9999999999999999,,2,D001285,False
"D001287:Attachment Sites, Microbiological",,,1,D001287,False
D001288:Attention,0.1095310275428681,0.5575051597372236,31,D001288,False
D001289:Attention Deficit Disorder with Hyperactivity,-0.27387516301653453,0.059613977524167534,48,D001289,False
D001290:Attitude,0.9999999999999999,,2,D001290,False
D001291:Attitude of Health Personnel,,,1,D001291,False
D001293:Attitude to Death,,,1,D001293,False
D001294:Attitude to Health,-0.9999999999999999,,2,D001294,False
D001298:Audiology,1.0,0.0,3,D001298,False
D001299:Audiometry,0.08647790245291452,0.7687933833433843,14,D001299,False
"D001300:Audiometry, Evoked Response",,,1,D001300,False
"D001301:Audiometry, Pure-Tone",-0.34418646017266635,0.161934543520002,18,D001301,False
"D001302:Audiometry, Speech",,,1,D001302,False
D001303:Auditory Cortex,-0.550782483869826,0.2573693316225745,6,D001303,False
D001305:Auditory Fatigue,,,2,D001305,False
D001306:Auditory Pathways,-1.0,0.0,3,D001306,False
D001307:Auditory Perception,-0.6333333333333333,0.06708578689234565,9,D001307,False
D001309:Auditory Threshold,-0.2142857142857143,0.6103444156452669,8,D001309,False
D001310:Auranofin,-0.28890672318769206,0.3164487464489128,14,D001310,False
D001312:Aurintricarboxylic Acid,,,2,D001312,False
D001313:Aurovertins,,,1,D001313,False
D001315:Australia,-0.0632620149151528,0.5796623586897603,79,D001315,False
D001317:Austria,-0.2970207963090712,0.13244606155476177,27,D001317,False
D001318:Authoritarianism,,,1,D001318,False
D001321:Autistic Disorder,0.08883763107227992,0.3919348440701471,95,D001321,False
D001323:Autoantibodies,-0.039024260806540235,0.5804090553113761,203,D001323,False
D001324:Autoantigens,0.022598874007086416,0.7477336253851052,205,D001324,False
D001327:Autoimmune Diseases,-0.002382560476269775,0.978453088784824,131,D001327,True
D001329:Autolysis,-0.5,0.6666666666666667,3,D001329,True
D001330:Electronic Data Processing,,,1,D001330,False
D001331:Automation,0.21428571428571433,0.6445115810207203,7,D001331,False
D001332:Automatism,,,1,D001332,False
D001334:Automobile Driving,,,1,D001334,False
D001335:Vehicle Emissions,0.17661622067047905,0.4977073880530537,17,D001335,False
D001336:Automobiles,-0.5,0.6666666666666667,3,D001336,False
D001337:Autonomic Agents,,,1,D001337,False
D001341:Autonomic Nervous System,-0.12785521419362247,0.7079341542451165,11,D001341,False
D001342:Autonomic Nervous System Diseases,0.2034190510862431,0.5996230639246414,9,D001342,True
D001343:Autophagy,-0.054100487644602485,0.10158118425443369,917,D001343,False
D001344:Autopsy,-0.03393791331938479,0.7522040315927633,89,D001344,False
D001345:Autoradiography,0.09090909090909088,0.8027717312071619,10,D001345,False
D001351:Infectious bronchitis virus,,,1,D001351,False
D001358:Avian Sarcoma Viruses,,,2,D001358,False
D001359:Aviation,,,1,D001359,False
D001360:Avidin,,,1,D001360,False
D001362:Avoidance Learning,-0.34852560833857543,0.2029797823416891,15,D001362,False
D001364:Awareness,-0.9999999999999999,,2,D001364,False
D001365:Axilla,0.2842122758581141,0.37063225777171693,12,D001365,False
D001366:Axillary Artery,0.9999999999999999,,2,D001366,False
D001369:Axons,-0.011693328584582862,0.8874449345270737,149,D001369,False
D001370:Axonal Transport,0.4269941864536469,0.08737374952209384,17,D001370,False
D001372:Aza Compounds,0.19999999999999998,0.8,4,D001372,False
D001374:Azacitidine,-0.04952655406177126,0.4806800380915929,205,D001374,False
D001377:Azaserine,,,1,D001377,False
D001379:Azathioprine,-0.11542309761060109,0.6820820603329191,15,D001379,False
D001381:Azepines,-0.2587337699345175,0.01553076905708527,87,D001381,False
D001382:Azerbaijan,-0.34786262139146906,0.4992532181146331,6,D001382,False
D001384:Azetidines,0.003048780487804878,0.9933308546732798,10,D001384,False
D001386:Azides,0.0,1.0,5,D001386,False
D001388:Aziridines,,,2,D001388,False
D001391:Azo Compounds,-0.8288624656799143,0.021173515581004273,7,D001391,False
D001392:Azocines,0.0,1.0,3,D001392,False
D001393:Azoles,-0.3282689935872349,0.35441832701832526,10,D001393,False
D001394:Azores,,,1,D001394,False
D001397:Azoxymethane,-0.287410558646012,0.18359483567832763,23,D001397,False
D001399:Azure Stains,,,3,D001399,False
D001402:B-Lymphocytes,0.010581754087024501,0.8585855658759697,286,D001402,False
D001407:Bacillus,,,1,D001407,False
D001408:Bacillus anthracis,0.5428571428571429,0.26570262390670557,6,D001408,False
D001409:Bacillus cereus,,,1,D001409,False
D001410:Bacillus megaterium,0.9999999999999999,,2,D001410,False
D001412:Bacillus subtilis,0.09999999999999999,0.8728885715695383,5,D001412,False
D001413:Bacillus thuringiensis,,,1,D001413,False
D001415:Back,-0.5,0.6666666666666667,3,D001415,False
D001416:Back Pain,,,1,D001416,True
D001418:Baclofen,0.632455532033676,0.367544467966324,4,D001418,False
D001419:Bacteria,-0.07558852044510747,0.6385638572090196,41,D001419,False
"D001420:Bacteria, Aerobic",,,2,D001420,False
"D001421:Bacteria, Anaerobic",,,1,D001421,False
D001422:Bacterial Adhesion,0.30840865516296906,0.11032289807261039,28,D001422,False
D001424:Bacterial Infections,-0.10638083883775085,0.44835994831249704,53,D001424,True
D001425:Bacterial Outer Membrane Proteins,-0.14835872715428688,0.5324771401166518,20,D001425,False
D001426:Bacterial Proteins,-0.033022918152981126,0.6450319236303244,197,D001426,False
D001427:Bacterial Toxins,0.022746090903390612,0.8877435197801359,41,D001427,False
D001428:Bacterial Vaccines,0.6708203932499368,0.21516994256955005,5,D001428,False
D001430:Bacteriocins,,,1,D001430,False
D001431:Bacteriological Techniques,0.4638168285219587,0.3541642984362307,6,D001431,False
D001433:Bacteriolysis,-0.3142857142857143,0.5440932944606414,6,D001433,False
D001435:Bacteriophages,0.39999999999999997,0.6,4,D001435,False
D001439:Bacteroides,0.5797710356524485,0.2277839567150159,6,D001439,False
D001441:Bacteroides fragilis,0.21329299106945493,0.5540749249942067,10,D001441,False
D001442:Bacteroides Infections,0.0,1.0,3,D001442,True
D001444:Bahamas,,,1,D001444,False
D001445:Bahrain,-0.21622499104693418,0.6414455093539175,7,D001445,False
D001449:Balkan Nephropathy,-0.9999999999999999,,2,D001449,True
D001452:Balneology,,,3,D001452,False
D001454:Baltic States,,,2,D001454,False
"D001457:Anion Exchange Protein 1, Erythrocyte",0.044397331534183807,0.88020893577245,14,D001457,False
D001458:Bandages,,,1,D001458,False
D001459:Bangladesh,-0.20453538802841642,0.26971208737267083,31,D001459,False
D001460:Barbados,,,1,D001460,False
D001461:Barbering,,,1,D001461,False
D001464:Barium,-0.5122717640554155,0.2398053912767625,7,D001464,False
D001467:Hordeum,-0.9999999999999999,,2,D001467,False
D001471:Barrett Esophagus,-0.12785625286471947,0.38130723833565616,49,D001471,True
D001477:Bartter Syndrome,-0.5,0.6666666666666667,3,D001477,True
D001478:Basal Cell Nevus Syndrome,-0.9999999999999999,,2,D001478,True
D001479:Basal Ganglia,-0.5167372448675589,0.00817384629665938,25,D001479,False
D001480:Basal Ganglia Diseases,0.21428571428571433,0.6445115810207203,7,D001480,True
D001481:Basal Metabolism,-0.30631873731649006,0.5040270086665881,7,D001481,False
D001482:Base Composition,-0.1897234848255429,0.43659962044707,19,D001482,False
D001483:Base Sequence,-0.08277606638042455,0.028080184130258118,704,D001483,False
D001485:Basement Membrane,-0.00015295203748818834,0.9993150199980234,34,D001485,False
D001486:Bashkiria,-0.7071067811865475,0.18169011381620925,5,D001486,False
D001487:Basidiomycota,0.31622776601683794,0.604181303590592,5,D001487,False
D001489:Basilar Membrane,,,1,D001489,False
D001490:Basketball,-0.5,0.6666666666666667,3,D001490,False
D001491:Basophils,0.01949951354195379,0.9331408053395374,21,D001491,False
D001492:Bass,,,1,D001492,False
D001499:Bayes Theorem,-0.15499765641425456,0.3395805355120227,40,D001499,False
D001500:BCG Vaccine,-0.3429753896247487,0.16351398468615314,18,D001500,False
D001506:Beckwith-Wiedemann Syndrome,0.7378647873726218,0.2621352126273781,4,D001506,True
D001507:Beclomethasone,-0.5,0.6666666666666667,3,D001507,False
D001510:Bed Rest,-0.46220119374880986,0.2103420424900607,9,D001510,False
D001514:Bee Venoms,,,1,D001514,False
D001519:Behavior,-0.012158110873601293,0.9734080635074243,10,D001519,False
D001521:Behavior Therapy,0.0,1.0,3,D001521,False
"D001522:Behavior, Animal",0.07911402122228092,0.3690619532377899,131,D001522,False
D001523:Mental Disorders,-0.04573235119406413,0.7355145581830635,57,D001523,False
D001526:Behavioral Symptoms,0.39999999999999997,0.6,4,D001526,False
D001528:Behcet Syndrome,-0.1403871458377317,0.19731417620606714,86,D001528,True
D001530:Belgium,-0.33566438039610225,0.03421946451079982,40,D001530,False
D001541:Benin,-0.8827348295047495,0.01982041658888203,6,D001541,False
D001542:Benomyl,0.9999999999999999,,2,D001542,False
D001544:Benperidol,-0.9999999999999999,,2,D001544,False
D001547:Benzaldehydes,0.5272012675161055,0.14469933213386177,9,D001547,False
D001549:Benzamides,-0.07795065332084822,0.2876477106559623,188,D001549,False
D001550:Benzamidines,,,2,D001550,False
D001551:Benz(a)Anthracenes,,,1,D001551,False
D001552:Benzazepines,0.3642392980808391,0.20042895168227248,14,D001552,False
D001553:Benzbromarone,,,1,D001553,False
D001554:Benzene,-0.40006613209931946,0.37384749479998997,7,D001554,False
D001555:Benzene Derivatives,-0.42580568644890654,0.16754740557353007,12,D001555,False
D001556:Hexachlorocyclohexane,,,1,D001556,False
D001557:Benzenesulfonates,-0.4537455940978489,0.10317542292851695,14,D001557,False
D001559:Benzhydryl Compounds,-0.07512310254042759,0.640637710701969,41,D001559,False
D001560:Benzidines,-0.4472135954999579,0.552786404500042,4,D001560,False
D001562:Benzimidazoles,0.13776799482420427,0.18071548805775312,96,D001562,False
D001564:Benzo(a)pyrene,-0.2094063511548994,0.33757783130386043,23,D001564,False
D001565:Benzoates,0.23530968459266124,0.06792059272402859,61,D001565,False
D001567:Benzocycloheptenes,0.23945622104309752,0.43072898130484727,13,D001567,False
D001569:Benzodiazepines,0.5463458653007239,0.0017871044116687172,30,D001569,False
D001570:Benzodiazepinones,-0.18722512377823863,0.5215707275350412,14,D001570,False
D001572:Benzofurans,-0.2673196902328812,0.17766166666415345,27,D001572,False
D001577:Benzophenones,0.05504818825631804,0.8722883630840339,11,D001577,False
D001578:Benzopyrans,-0.3645835525015282,0.05645803886597592,28,D001578,False
D001580:Benzopyrenes,-0.9999999999999999,,2,D001580,False
D001583:Benzoxazoles,-0.2808146713534989,0.23041240043213052,20,D001583,False
D001584:Benzoxepins,0.9999999999999999,,2,D001584,False
D001592:Benzyl Alcohols,0.19999999999999998,0.8,4,D001592,False
D001593:Benzyl Compounds,0.4285714285714286,0.39650145772594736,6,D001593,False
D001596:Benzylamines,-0.128808799480957,0.5394556714680805,25,D001596,False
D001597:Benzylidene Compounds,-0.1482315395906604,0.6130459665200789,14,D001597,False
D001599:Berberine,0.05606407189840231,0.7381378100953979,38,D001599,False
D001600:Berberine Alkaloids,0.6375355777548621,0.1732603152985335,6,D001600,False
D001604:Berlin,-0.9999999999999999,,2,D001604,False
D001611:Beta Rhythm,,,1,D001611,False
D001613:beta 2-Microglobulin,-0.21868757793709584,0.22144642999693787,33,D001613,False
D001615:beta-Endorphin,0.8660254037844387,0.3333333333333332,3,D001615,False
D001616:beta-Galactosidase,0.14077205081909344,0.3800042228296655,41,D001616,False
D001617:beta-Glucosidase,0.3091420111676559,0.49989851459945445,7,D001617,False
D001618:beta-Lactamases,0.614704768862218,0.14186111012912023,7,D001618,False
