term,citation_percentile_all,citation_percentile_intro,n_pubs_all,n_pubs_intro,ui,disease_term
D001003:Anal Canal,0.363273080370481,0.36999669202778696,17,11.0,D001003,False
D001005:Anus Neoplasms,0.5224478976839734,0.363273080370481,21,10.0,D001005,True
"D001006:Anus, Imperforate",0.6051438967912669,0.662669533575918,11,8.0,D001006,True
D001007:Anxiety,0.4960599043919928,0.5985584105168807,169,55.0,D001007,False
D001008:Anxiety Disorders,0.3958815745947734,0.4210322372126174,85,32.0,D001008,False
"D001010:Anxiety, Separation",0.29491838436792567,0.24822272528694547,4,1.0,D001010,False
D001011:Aorta,0.5916801961498956,0.5916801961498956,276,160.0,D001011,False
"D001012:Aorta, Abdominal",0.617300131061599,0.6297958194819608,46,37.0,D001012,False
"D001013:Aorta, Thoracic",0.5486878330833906,0.5240513893038542,52,46.0,D001013,False
D001014:Aortic Aneurysm,0.3482322121626834,0.3264677322975799,36,24.0,D001014,True
D001017:Aortic Coarctation,0.4449553423751241,0.4449553423751241,5,5.0,D001017,True
D001018:Aortic Diseases,0.650198478332782,0.6601972414277191,67,54.0,D001018,True
D001019:Aortic Rupture,0.4654672544580801,0.4989276778267604,12,11.0,D001019,True
D001021:Aortic Valve,0.6865972643735097,0.5586635313936756,76,55.0,D001021,False
D001022:Aortic Valve Insufficiency,0.31223949718822364,0.31223949718822364,5,5.0,D001022,True
D001024:Aortic Valve Stenosis,0.5021625461664453,0.47075382193579096,75,54.0,D001024,True
D001025:Aortitis,0.9363878847436212,0.9363878847436212,3,3.0,D001025,True
D001026:Coronary Artery Bypass,0.22034402911015546,0.22034402911015546,60,34.0,D001026,False
D001027:Aortography,0.24187705407827906,0.21808422517477882,13,10.0,D001027,False
D001031:Apatites,0.617300131061599,0.617300131061599,1,1.0,D001031,False
D001034:Apgar Score,0.363273080370481,0.23516478470125543,4,2.0,D001034,False
D001035:Aphakia,0.30399340720441637,,2,,D001035,True
D001037:Aphasia,0.7066381820002068,0.43151562549880257,5,4.0,D001037,True
"D001039:Aphasia, Broca",0.5447798283688413,0.5447798283688413,2,2.0,D001039,True
D001048:Aplysia,0.19459387636229009,0.19459387636229009,3,3.0,D001048,False
D001049:Apnea,0.28574096205557215,0.6645220223201874,5,3.0,D001049,True
D001050:Apocrine Glands,0.22034402911015546,0.2841723931879295,12,8.0,D001050,False
D001051:Apoenzymes,0.5507917538093815,0.5507917538093815,7,5.0,D001051,False
D001052:Apoferritins,0.6993714852795236,0.8074955183746638,18,10.0,D001052,False
D001053:Apolipoproteins,0.48734303038335375,0.48734303038335375,104,22.0,D001053,False
D001054:Apolipoproteins A,0.4355057817832411,0.4355057817832411,60,19.0,D001054,False
D001055:Apolipoproteins B,0.28574096205557215,0.31223949718822364,97,24.0,D001055,False
D001056:Apolipoproteins C,0.18312845830158048,0.15965927886205755,4,1.0,D001056,False
D001057:Apolipoproteins E,0.4623604254332196,0.6422915079023227,620,162.0,D001057,False
D001058:Apomorphine,0.6645220223201874,0.6645220223201874,1,1.0,D001058,False
D001059:Apoproteins,0.6952308037048103,0.704647700959312,30,23.0,D001059,False
D001060:Aporphines,0.5880582203109493,0.5880582203109493,3,3.0,D001060,False
D001062:Appendectomy,0.03147464156638469,0.03147464156638469,1,1.0,D001062,False
D001063:Appendiceal Neoplasms,0.6708690898247242,0.6708690898247242,7,5.0,D001063,True
D001064:Appendicitis,0.0874888174679434,0.0874888174679434,8,7.0,D001064,True
D001065:Appendix,0.7302348660271254,0.7302348660271254,2,2.0,D001065,False
D001066:Appetite,0.4654672544580801,0.634232215346054,16,4.0,D001066,False
D001067:Appetite Depressants,0.19937630714072305,0.5920787272184045,2,2.0,D001067,False
D001068:Feeding and Eating Disorders,0.12299627503909127,0.10143896791266953,17,8.0,D001068,False
D001069:Appetite Regulation,0.4211911697609939,0.39910740962055574,18,14.0,D001069,False
D001070:Appetitive Behavior,0.6758352629837909,0.6928795898114456,3,2.0,D001070,False
D001072:Apraxias,0.5898692082304224,0.5714470220868222,18,13.0,D001072,True
D001076:Aptitude,0.22034402911015546,0.22034402911015546,2,2.0,D001076,False
D001080:Apurinic Acid,0.1198274574245593,0.1198274574245593,1,1.0,D001080,False
D001081:Apyrase,0.617300131061599,0.6636120238503496,52,26.0,D001081,False
D001082:Aqueous Humor,0.5478432223233999,0.5339286305954077,25,18.0,D001082,False
D001087:Arabinonucleosides,0.6776217508216313,0.7584669918927456,6,5.0,D001087,False
D001092:Arachidonate 12-Lipoxygenase,0.43620736656863357,0.5997611730406894,15,6.0,D001092,False
D001093:Arachidonate 15-Lipoxygenase,0.4449553423751241,0.4568226926893814,38,17.0,D001093,False
D001094:Arachidonate 5-Lipoxygenase,0.4067128325767867,0.4211911697609939,53,15.0,D001094,False
D001095:Arachidonic Acids,0.4814340364300004,0.46869004300363876,36,18.0,D001095,False
D001096:Arachnid Vectors,0.5791432717031214,0.5791432717031214,2,2.0,D001096,False
D001099:Arachnoid,0.6422915079023227,0.4914654316903738,2,1.0,D001099,False
D001105:Archaea,0.32071034991050434,0.32071034991050434,3,3.0,D001105,False
D001106:Archaeology,0.1582573946818046,0.1582573946818046,1,1.0,D001106,False
D001110:Arctic Regions,0.00869772429405457,0.00869772429405457,3,3.0,D001110,False
D001111:Arcuate Nucleus of Hypothalamus,0.6708690898247242,0.7371619206481592,6,6.0,D001111,False
D001114:Areca,0.4211911697609939,0.4449553423751241,23,20.0,D001114,False
D001115:Arecoline,0.5880582203109493,0.5880582203109493,10,10.0,D001115,False
D001117:Arenaviridae Infections,0.7737347006285147,0.7737347006285147,9,9.0,D001117,True
D001118:Argentina,0.19937630714072305,0.21042010318323798,41,31.0,D001118,False
D001119:Arginase,0.5830701349238763,0.5902140672782875,82,52.0,D001119,False
D001120:Arginine,0.510967164772539,0.5184100810230816,346,150.0,D001120,False
D001121:Lysine Carboxypeptidase,0.17369178394693432,,1,,D001121,False
D001123:Argininosuccinate Lyase,0.19911563846883884,0.029556731723453522,7,2.0,D001123,False
D001124:Argininosuccinate Synthase,0.46551015835076187,0.46551015835076187,16,6.0,D001124,False
D001126:Arginine-tRNA Ligase,0.5900611517014264,0.7841748009820312,10,2.0,D001126,False
D001127:Arginine Vasopressin,0.4223535584002407,0.45703241708993125,21,7.0,D001127,False
D001128:Argon,0.6265696961664623,0.6265696961664623,1,1.0,D001128,False
D001130:Arizona,0.5365146622881729,0.581563892885972,7,5.0,D001130,False
D001132:Arm,0.1198274574245593,0.1198274574245593,8,7.0,D001132,False
D001135:Armadillos,0.6362057558716506,,1,,D001135,False
D001136:Armenia,0.24631160633855914,0.2822031094938803,5,5.0,D001136,False
D001139:Arnold-Chiari Malformation,0.3264677322975799,0.3264677322975799,5,5.0,D001139,True
D001141:Aromatase,0.3853012430994082,0.4623604254332196,131,41.0,D001141,False
D001142:Aromatic-L-Amino-Acid Decarboxylases,0.363273080370481,0.363273080370481,8,4.0,D001142,False
D001143:Arousal,0.43324245593068417,0.7439117325469666,13,5.0,D001143,False
"D001145:Arrhythmias, Cardiac",0.5567496776281853,0.6219349136140306,132,57.0,D001145,True
"D001146:Arrhythmia, Sinus",0.5452104896766381,0.5452104896766381,4,4.0,D001146,True
D001149:Arsenates,0.789635863622809,0.789635863622809,1,1.0,D001149,False
D001151:Arsenic,0.39910740962055574,0.4654672544580801,50,26.0,D001151,False
D001152:Arsenicals,0.5127687727423089,0.44490990809768133,69,43.0,D001152,False
D001154:Art,0.08386241410218105,0.08386241410218105,1,1.0,D001154,False
D001157:Arterial Occlusive Diseases,0.3958815745947734,0.4914654316903738,13,12.0,D001157,True
D001158:Arteries,0.5340960937774191,0.5340960937774191,65,40.0,D001158,False
D001160:Arterioles,0.573324276862927,0.6051438967912669,25,19.0,D001160,False
D001161:Arteriosclerosis,0.32154538664181537,0.3769635615298615,24,17.0,D001161,True
D001162:Arteriosclerosis Obliterans,0.663364207740655,0.663364207740655,6,6.0,D001162,True
D001163:Arteriovenous Anastomosis,0.3771743812332262,0.3771743812332262,1,1.0,D001163,False
D001164:Arteriovenous Fistula,0.12397091331084023,0.12397091331084023,5,5.0,D001164,True
D001165:Arteriovenous Malformations,0.6312123010636117,0.6958693565463553,18,11.0,D001165,True
"D001166:Arteriovenous Shunt, Surgical",0.2653075000668433,0.24841189063980626,9,7.0,D001166,False
D001167:Arteritis,0.6738395353285551,0.6738395353285551,3,3.0,D001167,True
D001168:Arthritis,0.6098373148669692,0.6702828128163845,62,34.0,D001168,True
"D001169:Arthritis, Experimental",0.5774440848744495,0.570195170360569,104,82.0,D001169,True
"D001170:Arthritis, Infectious",0.39910740962055574,0.554835823862695,7,3.0,D001170,True
"D001171:Arthritis, Juvenile",0.32358904110404213,0.4211911697609939,80,41.0,D001171,True
"D001172:Arthritis, Rheumatoid",0.4623604254332196,0.4960599043919928,972,283.0,D001172,True
D001175:Arthrography,0.2822031094938803,0.2822031094938803,3,3.0,D001175,False
D001176:Arthrogryposis,0.4853128066870587,0.45365788390417183,66,33.0,D001176,True
"D001177:Arthropathy, Neurogenic",0.3472714621781916,,3,,D001177,True
D001180:Arthropod Venoms,0.6220872266510802,0.6220872266510802,2,2.0,D001180,False
D001182:Arthroscopy,0.46551015835076187,0.46551015835076187,6,6.0,D001182,False
D001183:Arthus Reaction,0.7637255226798317,0.7637255226798317,1,1.0,D001183,True
D001184:Articulation Disorders,0.5507917538093815,0.5507917538093815,1,1.0,D001184,True
D001185:Artificial Intelligence,0.8858914985114125,0.8858914985114125,3,3.0,D001185,False
D001189:Aryl Hydrocarbon Hydroxylases,0.34177968905061196,0.2853442227858458,92,14.0,D001189,False
D001190:Arylsulfonates,0.9649873020615477,0.9649873020615477,1,1.0,D001190,False
D001191:Arylamine N-Acetyltransferase,0.2849474835161194,0.5323881011954407,85,7.0,D001191,False
D001192:Arylsulfatases,0.3472714621781916,0.23500661594442607,6,2.0,D001192,False
D001194:Asbestos,0.510967164772539,0.3554557259677816,19,8.0,D001194,False
D001195:Asbestosis,0.4383403093908857,0.7269009560800717,2,1.0,D001195,True
D001201:Ascites,0.45232162285473626,0.4067128325767867,43,29.0,D001201,True
D001202:Ascitic Fluid,0.42087330466424083,0.4574012105727484,52,38.0,D001202,False
D001203:Ascomycota,0.6375451765360023,0.5902140672782875,4,3.0,D001203,False
D001205:Ascorbic Acid,0.5516043665233212,0.7101984692356118,69,35.0,D001205,False
D001208:Asia,0.3958815745947734,0.3554557259677816,39,27.0,D001208,False
"D001209:Asia, Central",0.573324276862927,0.573324276862927,1,1.0,D001209,False
"D001210:Asia, Southeastern",0.2633682466193873,0.2633682466193873,9,9.0,D001210,False
D001212:Asialoglycoproteins,0.6362057558716506,0.6362057558716506,1,1.0,D001212,False
D001213:Asian Americans,0.46869004300363876,0.39233063743601726,26,18.0,D001213,False
D001215:Asparaginase,0.5340960937774191,0.5759262025694651,28,17.0,D001215,False
D001216:Asparagine,0.3887797002772611,0.35136359407298656,61,45.0,D001216,False
D001217:Aspartate-Ammonia Ligase,0.6422981083073035,0.8818162763072055,11,4.0,D001217,False
D001219:Aspartate Aminotransferases,0.3264677322975799,0.3264677322975799,92,65.0,D001219,False
D001221:Aspartate Carbamoyltransferase,0.6952308037048103,0.5240513893038542,9,6.0,D001221,False
D001222:Aspartate Kinase,0.9903836029902081,0.9903836029902081,1,1.0,D001222,False
D001224:Aspartic Acid,0.4211911697609939,0.43324245593068417,81,61.0,D001224,False
D001226:Aspartate-tRNA Ligase,0.7813525065438521,0.8161226471466986,10,7.0,D001226,False
D001227:Aspartylglucosylaminase,0.12105990439199282,,2,,D001227,False
D001228:Aspergillosis,0.5082651879408978,0.5082651879408978,20,17.0,D001228,True
"D001229:Aspergillosis, Allergic Bronchopulmonary",0.6271396798919735,0.8689781166845387,3,2.0,D001229,True
D001230:Aspergillus,0.9649873020615477,0.9072027339967376,6,6.0,D001230,False
D001231:Aspergillus flavus,0.12995368838901752,0.12995368838901752,1,1.0,D001231,False
D001232:Aspergillus fumigatus,0.606400799365057,0.5916801961498956,32,26.0,D001232,False
D001234:Aspergillus niger,0.15965927886205755,0.15965927886205755,1,1.0,D001234,False
D001237:Asphyxia,0.4814340364300004,0.4814340364300004,2,2.0,D001237,True
D001238:Asphyxia Neonatorum,0.5750813885201009,0.5750813885201009,12,11.0,D001238,True
D001239:Inhalation,0.17369178394693432,0.17369178394693432,1,1.0,D001239,False
D001241:Aspirin,0.44863848261493017,0.581563892885972,109,60.0,D001241,False
D001244:Association,0.2000476587632551,0.2000476587632551,1,1.0,D001244,False
D001245:Association Learning,0.33691552600277697,0.5240513893038542,6,3.0,D001245,False
D001247:Asthenia,0.4654672544580801,0.4654672544580801,2,2.0,D001247,True
D001249:Asthma,0.42087330466424083,0.46707864873085947,724,220.0,D001249,True
"D001250:Asthma, Exercise-Induced",0.42087330466424083,0.42087330466424083,3,3.0,D001250,True
D001251:Astigmatism,0.2000476587632551,0.2000476587632551,1,1.0,D001251,True
D001253:Astrocytes,0.7037610707335478,0.6880913000330797,430,197.0,D001253,False
D001254:Astrocytoma,0.43324245593068417,0.43324245593068417,182,89.0,D001254,True
D001257:Mamastrovirus,0.12995368838901752,0.12995368838901752,1,1.0,D001257,False
D001259:Ataxia,0.564080050362811,0.6150505963145755,121,68.0,D001259,True
D001260:Ataxia Telangiectasia,0.5586635313936756,0.580870740181799,16,5.0,D001260,True
D001262:Atenolol,0.6708690898247242,0.6708690898247242,3,3.0,D001262,False
D001264:Athetosis,0.15965927886205755,,1,,D001264,True
D001265:Athletic Injuries,0.6090844273930003,0.6090844273930003,10,6.0,D001265,True
D001266:Atlantic Islands,0.029556731723453522,0.029556731723453522,1,1.0,D001266,False
D001271:Atlases as Topic,0.7881498356737376,0.7881498356737376,6,6.0,D001271,False
D001272:Atmosphere,0.9429870989083692,0.9429870989083692,1,1.0,D001272,False
D001274:Atmospheric Pressure,0.15330235513721752,0.15330235513721752,1,1.0,D001274,False
D001275:ATP Citrate (pro-S)-Lyase,0.778612290738076,0.778612290738076,17,10.0,D001275,False
D001279:Atracurium,0.9700742682394059,0.9700742682394059,1,1.0,D001279,False
D001281:Atrial Fibrillation,0.39910740962055574,0.4584699091066208,233,99.0,D001281,True
D001282:Atrial Flutter,0.4402305620791826,0.4449553423751241,4,3.0,D001282,True
D001283:Atrioventricular Node,0.34161404344890584,0.34161404344890584,1,1.0,D001283,False
D001284:Atrophy,0.5880582203109493,0.5787450477277185,152,89.0,D001284,True
D001285:Atropine,0.42219181597248917,0.42219181597248917,2,2.0,D001285,False
"D001287:Attachment Sites, Microbiological",0.9687717438123322,0.9687717438123322,1,1.0,D001287,False
D001288:Attention,0.3166230409860508,0.4449553423751241,87,28.0,D001288,False
D001289:Attention Deficit Disorder with Hyperactivity,0.3974944921076646,0.31223949718822364,151,45.0,D001289,False
D001290:Attitude,0.1548194515042082,0.4160514767430899,4,2.0,D001290,False
D001291:Attitude of Health Personnel,0.2849474835161194,0.2849474835161194,2,2.0,D001291,False
D001293:Attitude to Death,0.28574096205557215,0.28574096205557215,1,1.0,D001293,False
D001294:Attitude to Health,0.06254573602678241,0.06254573602678241,2,2.0,D001294,False
D001298:Audiology,0.2000476587632551,0.2000476587632551,3,3.0,D001298,False
D001299:Audiometry,0.2962587870844752,0.30644091403526297,30,12.0,D001299,False
"D001300:Audiometry, Evoked Response",0.6768198869086967,0.4999404265459311,2,1.0,D001300,False
"D001301:Audiometry, Pure-Tone",0.33808303793914296,0.3760263903238711,29,16.0,D001301,False
"D001302:Audiometry, Speech",0.3887797002772611,0.3887797002772611,1,1.0,D001302,False
D001303:Auditory Cortex,0.650198478332782,0.44930518448629414,5,5.0,D001303,False
D001305:Auditory Fatigue,0.3887797002772611,0.3887797002772611,1,1.0,D001305,False
D001306:Auditory Pathways,0.42745939076214307,0.42745939076214307,3,3.0,D001306,False
D001307:Auditory Perception,0.45232162285473626,0.4654672544580801,12,9.0,D001307,False
D001309:Auditory Threshold,0.4960599043919928,0.5273617178928343,11,8.0,D001309,False
D001310:Auranofin,0.7409433821332536,0.6910199432327457,13,9.0,D001310,False
D001312:Aurintricarboxylic Acid,0.7409433821332536,0.7409433821332536,1,1.0,D001312,False
D001313:Aurovertins,0.21808422517477882,0.21808422517477882,1,1.0,D001313,False
D001315:Australia,0.46551015835076187,0.48734303038335375,104,69.0,D001315,False
D001317:Austria,0.3853012430994082,0.3853012430994082,36,27.0,D001317,False
D001318:Authoritarianism,0.24841189063980626,0.24841189063980626,1,1.0,D001318,False
D001321:Autistic Disorder,0.5984120464705813,0.5507917538093815,142,86.0,D001321,False
D001323:Autoantibodies,0.4211911697609939,0.42745939076214307,519,183.0,D001323,False
D001324:Autoantigens,0.554835823862695,0.596646008124105,428,174.0,D001324,False
D001327:Autoimmune Diseases,0.4814340364300004,0.4999404265459311,233,112.0,D001327,True
D001329:Autolysis,0.42087330466424083,0.42087330466424083,3,3.0,D001329,True
D001330:Electronic Data Processing,0.0874888174679434,0.0874888174679434,1,1.0,D001330,False
D001331:Automation,0.42745939076214307,0.42745939076214307,9,7.0,D001331,False
D001332:Automatism,0.07413165729407872,0.07413165729407872,1,1.0,D001332,False
D001334:Automobile Driving,0.43777133702215676,0.5339286305954077,2,1.0,D001334,False
D001335:Vehicle Emissions,0.4814340364300004,0.4814340364300004,14,13.0,D001335,False
D001336:Automobiles,0.230012003529804,0.4355057817832411,3,3.0,D001336,False
D001337:Autonomic Agents,0.22034402911015546,0.22034402911015546,1,1.0,D001337,False
D001341:Autonomic Nervous System,0.2962587870844752,0.2962587870844752,14,10.0,D001341,False
D001342:Autonomic Nervous System Diseases,0.3702237308018536,0.32071034991050434,10,7.0,D001342,True
D001343:Autophagy,0.7661151777711384,0.7319376178980928,2034,816.0,D001343,False
D001344:Autopsy,0.42745939076214307,0.42745939076214307,115,82.0,D001344,False
D001345:Autoradiography,0.8388108754108157,0.8732846664092935,12,10.0,D001345,False
D001351:Infectious bronchitis virus,0.7353446695132911,0.9089315249751903,2,1.0,D001351,False
D001358:Avian Sarcoma Viruses,0.3554557259677816,0.3554557259677816,1,1.0,D001358,False
D001359:Aviation,0.014406218987760502,0.014406218987760502,1,1.0,D001359,False
D001360:Avidin,0.24187705407827906,0.24187705407827906,1,1.0,D001360,False
D001362:Avoidance Learning,0.5516043665233212,0.5516043665233212,18,14.0,D001362,False
D001364:Awareness,0.00869772429405457,0.2147855144791477,2,2.0,D001364,False
D001365:Axilla,0.21808422517477882,0.20873026615775092,17,10.0,D001365,False
D001366:Axillary Artery,0.5002902652176239,0.5002902652176239,2,2.0,D001366,False
D001369:Axons,0.699495937219179,0.7210572302315421,204,134.0,D001369,False
D001370:Axonal Transport,0.791850351483379,0.778612290738076,23,15.0,D001370,False
D001372:Aza Compounds,0.13794616221528094,0.2794097334397609,5,4.0,D001372,False
D001374:Azacitidine,0.5339286305954077,0.5323881011954407,290,173.0,D001374,False
D001377:Azaserine,0.11798813823266294,0.11798813823266294,1,1.0,D001377,False
D001379:Azathioprine,0.581563892885972,0.43324245593068417,35,14.0,D001379,False
D001381:Azepines,0.8040629898383227,0.8048772406480899,115,66.0,D001381,False
D001382:Azerbaijan,0.060418806533912066,0.07214061031804656,7,6.0,D001382,False
D001384:Azetidines,0.5902140672782875,0.5055436859712642,15,9.0,D001384,False
D001386:Azides,0.6422915079023227,0.6422915079023227,5,5.0,D001386,False
D001388:Aziridines,0.7637255226798317,0.7637255226798317,1,1.0,D001388,False
D001391:Azo Compounds,0.7341452286526515,0.7341452286526515,12,6.0,D001391,False
D001392:Azocines,0.03676153871641099,0.03676153871641099,2,2.0,D001392,False
D001393:Azoles,0.5325504465762487,0.6041928547800198,11,10.0,D001393,False
D001394:Azores,0.017974884861336603,0.017974884861336603,1,1.0,D001394,False
D001397:Azoxymethane,0.6631821344554522,0.6098373148669692,21,19.0,D001397,False
D001399:Azure Stains,0.7977222475695785,0.7977222475695785,1,1.0,D001399,False
D001402:B-Lymphocytes,0.5240513893038542,0.5567496776281853,875,258.0,D001402,False
D001407:Bacillus,0.4449553423751241,0.4449553423751241,1,1.0,D001407,False
D001408:Bacillus anthracis,0.48115042598957536,0.48115042598957536,6,6.0,D001408,False
D001409:Bacillus cereus,0.21808422517477882,0.21808422517477882,1,1.0,D001409,False
D001410:Bacillus megaterium,0.3346036709166722,0.3346036709166722,2,2.0,D001410,False
D001412:Bacillus subtilis,0.5127687727423089,0.5127687727423089,5,5.0,D001412,False
D001413:Bacillus thuringiensis,0.8032487390285555,0.8032487390285555,1,1.0,D001413,False
D001414:Bacitracin,0.2523441900533448,,1,,D001414,False
D001415:Back,0.24841189063980626,0.24841189063980626,3,3.0,D001415,False
D001416:Back Pain,0.4689647491877187,0.7881498356737376,2,1.0,D001416,True
D001418:Baclofen,0.4067128325767867,0.4067128325767867,4,4.0,D001418,False
D001419:Bacteria,0.7371619206481592,0.7409433821332536,41,34.0,D001419,False
"D001420:Bacteria, Aerobic",0.9921970776316226,0.9921970776316226,1,1.0,D001420,False
"D001421:Bacteria, Anaerobic",0.9934269495070213,0.9934269495070213,1,1.0,D001421,False
D001422:Bacterial Adhesion,0.48734303038335375,0.5230032808885147,42,26.0,D001422,False
D001424:Bacterial Infections,0.42745939076214307,0.5323881011954407,72,46.0,D001424,True
D001425:Bacterial Outer Membrane Proteins,0.5082651879408978,0.5082651879408978,19,13.0,D001425,False
D001426:Bacterial Proteins,0.5339286305954077,0.5507917538093815,319,167.0,D001426,False
D001427:Bacterial Toxins,0.4417757975971067,0.3853012430994082,48,35.0,D001427,False
D001428:Bacterial Vaccines,0.34161404344890584,0.34161404344890584,3,3.0,D001428,False
D001430:Bacteriocins,0.6030779489699224,0.9316623040986051,4,1.0,D001430,False
D001431:Bacteriological Techniques,0.4623604254332196,0.2731114197677003,6,5.0,D001431,False
D001433:Bacteriolysis,0.6052248282043621,0.6052248282043621,6,6.0,D001433,False
D001435:Bacteriophages,0.09632492067103376,0.09632492067103376,4,4.0,D001435,False
D001439:Bacteroides,0.9906255640218073,0.9906255640218073,5,5.0,D001439,False
D001441:Bacteroides fragilis,0.6776217508216313,0.659956629361977,6,6.0,D001441,False
D001442:Bacteroides Infections,0.8498227634857685,0.8498227634857685,2,2.0,D001442,True
D001444:Bahamas,0.6958596837899923,0.8101554746940126,2,1.0,D001444,False
D001445:Bahrain,0.17369178394693432,0.18312845830158048,9,7.0,D001445,False
D001449:Balkan Nephropathy,0.34177968905061196,0.4449553423751241,4,3.0,D001449,True
D001452:Balneology,0.4355057817832411,0.4355057817832411,1,1.0,D001452,False
D001454:Baltic States,0.7099239166391003,0.7099239166391003,1,1.0,D001454,False
"D001457:Anion Exchange Protein 1, Erythrocyte",0.24841189063980626,0.23324805790729253,23,10.0,D001457,False
D001458:Bandages,0.6098373148669692,0.6098373148669692,1,1.0,D001458,False
D001459:Bangladesh,0.39910740962055574,0.39910740962055574,33,26.0,D001459,False
D001460:Barbados,0.04287017864036781,0.04287017864036781,1,1.0,D001460,False
D001461:Barbering,0.07064893131646369,0.07064893131646369,1,1.0,D001461,False
D001464:Barium,0.24822272528694547,0.24187705407827906,5,4.0,D001464,False
D001467:Hordeum,0.727913128827987,0.727913128827987,2,2.0,D001467,False
D001471:Barrett Esophagus,0.3771743812332262,0.3853012430994082,76,43.0,D001471,True
D001477:Bartter Syndrome,0.4814340364300004,0.796146212371816,13,3.0,D001477,True
D001478:Basal Cell Nevus Syndrome,0.1970179065285449,0.1970179065285449,13,2.0,D001478,True
D001479:Basal Ganglia,0.5027427128669273,0.4067128325767867,37,24.0,D001479,False
D001480:Basal Ganglia Diseases,0.46687782964236835,0.5985584105168807,28,7.0,D001480,True
D001481:Basal Metabolism,0.34096172913268075,0.24822272528694547,15,7.0,D001481,False
D001482:Base Composition,0.4291210000139965,0.5507917538093815,20,17.0,D001482,False
D001483:Base Sequence,0.6030779489699224,0.6774115843568727,4484,684.0,D001483,False
D001485:Basement Membrane,0.5586635313936756,0.6422981083073035,40,28.0,D001485,False
D001486:Bashkiria,0.005257704699188504,0.12818995807662278,6,5.0,D001486,False
D001487:Basidiomycota,0.4914654316903738,0.4914654316903738,4,4.0,D001487,False
D001489:Basilar Membrane,0.005301348530532454,0.005301348530532454,1,1.0,D001489,False
D001490:Basketball,0.42087330466424083,0.42087330466424083,3,3.0,D001490,False
D001491:Basophils,0.5902140672782875,0.49320590736853687,29,20.0,D001491,False
D001492:Bass,0.43324245593068417,0.43324245593068417,1,1.0,D001492,False
D001499:Bayes Theorem,0.4750620397168196,0.4814340364300004,44,39.0,D001499,False
D001500:BCG Vaccine,0.3264677322975799,0.3635404660750101,22,17.0,D001500,False
D001506:Beckwith-Wiedemann Syndrome,0.4914654316903738,0.6601223949718822,15,3.0,D001506,True
D001507:Beclomethasone,0.22034402911015546,0.22034402911015546,3,3.0,D001507,False
D001510:Bed Rest,0.4211911697609939,0.3958815745947734,8,7.0,D001510,False
D001514:Bee Venoms,0.8101554746940126,0.8101554746940126,1,1.0,D001514,False
D001519:Behavior,0.7037610707335478,0.7148698814407372,15,9.0,D001519,False
D001521:Behavior Therapy,0.2000476587632551,0.2000476587632551,4,2.0,D001521,False
"D001522:Behavior, Animal",0.752035426347353,0.7470255852314603,162,117.0,D001522,False
D001523:Mental Disorders,0.45232162285473626,0.4449553423751241,83,51.0,D001523,False
D001526:Behavioral Symptoms,0.617300131061599,0.43694210329621935,5,4.0,D001526,False
D001528:Behcet Syndrome,0.32071034991050434,0.2142521641790084,129,72.0,D001528,True
D001530:Belgium,0.5436119625290678,0.49320590736853687,44,38.0,D001530,False
D001541:Benin,0.3489423655718653,0.3489423655718653,4,4.0,D001541,False
D001542:Benomyl,0.27753307829993334,0.27753307829993334,2,2.0,D001542,False
D001544:Benperidol,0.7341452286526515,0.6957727899334958,2,2.0,D001544,False
D001547:Benzaldehydes,0.8494181659319274,0.8494181659319274,8,8.0,D001547,False
D001549:Benzamides,0.650198478332782,0.6623596318739533,335,167.0,D001549,False
D001550:Benzamidines,0.24997519020840225,0.24997519020840225,2,2.0,D001550,False
D001551:Benz(a)Anthracenes,0.4151774404309471,0.2962587870844752,2,1.0,D001551,False
D001552:Benzazepines,0.4390988991529041,0.5645140516918529,19,11.0,D001552,False
D001553:Benzbromarone,0.6928192889481627,0.6928192889481627,1,1.0,D001553,False
D001554:Benzene,0.31223949718822364,0.21808422517477882,8,5.0,D001554,False
D001555:Benzene Derivatives,0.38119024499551835,0.38119024499551835,7,7.0,D001555,False
D001556:Hexachlorocyclohexane,0.5880582203109493,0.5880582203109493,2,2.0,D001556,False
D001557:Benzenesulfonates,0.6535374228481874,0.6313877260190565,20,13.0,D001557,False
D001559:Benzhydryl Compounds,0.5240513893038542,0.4914654316903738,38,32.0,D001559,False
D001560:Benzidines,0.43324245593068417,0.4646511801613385,3,2.0,D001560,False
D001562:Benzimidazoles,0.6362057558716506,0.6416973063197706,148,80.0,D001562,False
D001564:Benzo(a)pyrene,0.510967164772539,0.510967164772539,28,19.0,D001564,False
D001565:Benzoates,0.5809376832552323,0.561757814051392,61,47.0,D001565,False
D001567:Benzocycloheptenes,0.9547432702769101,0.9676938195346225,13,6.0,D001567,False
D001569:Benzodiazepines,0.46490510259509055,0.3756686502812775,31,24.0,D001569,False
D001570:Benzodiazepinones,0.6601972414277191,0.5970629360115633,16,12.0,D001570,False
D001571:Benzoflavones,0.3853012430994082,,1,,D001571,False
D001572:Benzofurans,0.5340123621864135,0.5339286305954077,25,20.0,D001572,False
D001577:Benzophenones,0.4823749736978158,0.6708690898247242,10,9.0,D001577,False
D001578:Benzopyrans,0.46869004300363876,0.5098655657893972,35,21.0,D001578,False
D001580:Benzopyrenes,0.2822031094938803,0.22093119417796891,3,2.0,D001580,False
